day,date,susceptible,infected,recovered
60,2020-06-07,14118111.786955683,9747289.270923022,15646821.9421213
61,2020-06-08,13482691.076297972,9686475.033657653,16343056.89004437
62,2020-06-09,12879655.072617963,9597619.963504974,17034947.96387706
63,2020-06-10,12308875.16554173,9482855.58747371,17720492.246984556
64,2020-06-11,11769912.851752613,9344471.073586134,18397839.07466125
65,2020-06-12,11262070.558777977,9184851.147018904,19065301.294203117
66,2020-06-13,10784440.928262057,9006419.98131919,19721362.090418752
67,2020-06-14,10335953.033324735,8811592.16330514,20364677.803370122
68,2020-06-15,9915414.486146001,8602731.270247795,20994077.243606206
69,2020-06-16,9521548.819491813,8382116.131884284,21608558.048623905
70,2020-06-17,9153027.882377924,8151914.488149296,22207280.62947278
71,2020-06-18,8808499.269595468,7914163.494635374,22789560.23576916
72,2020-06-19,8486609.009833751,7670756.361923136,23354857.628243115
73,2020-06-20,8186019.87542981,7423434.327618281,23902768.79695191
74,2020-06-21,7905425.758989211,7173783.134943289,24433014.1060675
75,2020-06-22,7643562.599800348,6923233.213064774,24945427.18713488
76,2020-06-23,7399216.3472164795,6673062.807572587,25439943.845210936
77,2020-06-24,7171228.428883096,6424403.382507929,25916591.188608978
78,2020-06-25,6958499.157099757,6178246.698397844,26375477.1445024
79,2020-06-26,6759989.463272347,5935453.056625408,26816780.48010225
80,2020-06-27,6574721.303271615,5696760.28401004,27240741.41271835
81,2020-06-28,6401777.029099469,5462793.109324326,27647652.861576207
82,2020-06-29,6240297.9769500205,5234072.653664894,28037852.369385086
83,2020-06-30,6089482.480001842,5011025.818208437,28411714.70178972
84,2020-07-01,5948583.47687153,4793994.4057524325,28769645.117376037
85,2020-07-02,5816905.853885896,4583243.856898607,29112073.289215498
86,2020-07-03,5693803.631145819,4378971.51843164,29439447.850422543
87,2020-07-04,5578677.078500325,4181314.39118916,29752231.530310515
88,2020-07-05,5470969.827643142,3990356.3283899743,30050896.843966883
89,2020-07-06,5370166.0301455185,3806134.673859743,30335922.295994736
90,2020-07-07,5275787.597894029,3628646.34369268,30607789.05841329
91,2020-07-08,5187391.551670466,3457853.3653667653,30866978.082962766
92,2020-07-09,5104567.495084525,3293687.89585508,31113967.60906039
93,2020-07-10,5026935.224381421,3136056.745425679,31349231.030192897
94,2020-07-11,4954142.4794727955,2984845.437089613,31573235.083437588
95,2020-07-12,4885862.837601251,2839921.833454757,31786438.32894399
96,2020-07-13,4821793.74810922,2701139.3634143053,31989289.888476472
97,2020-07-14,4761654.704642294,2568339.880923066,32182228.414434638
98,2020-07-15,4705185.54960981,2441356.1873181877,32365681.263072
99,2020-07-16,4652144.904715009,2320014.247404547,32540063.84788044
100,2020-07-17,4602308.720742131,2204135.127991386,32705779.15126648
