day,date,susceptible,infected,recovered
2,2020-04-04,326241380.23636216,2261572.4114659927,973737.3521718138
3,2020-04-05,325832819.317819,2508592.443475879,1135278.238705099
4,2020-04-06,325380200.9087595,2782025.678001458,1314463.4132390907
5,2020-04-07,324878944.9654976,3084565.501406052,1513179.5330963377
6,2020-04-08,324324034.5953902,3419149.7642701785,1733505.6403396272
7,2020-04-09,323709983.46409464,3788975.9124035705,1977730.6235017828
8,2020-04-10,323030802.95255387,4197515.287344101,2248371.760102038
9,2020-04-11,322279969.6947567,4648526.024616696,2548194.2806266164
10,2020-04-12,321450394.3071814,5146063.839005069,2880231.8538135234
11,2020-04-13,320534392.332019,5694489.825667173,3247807.8423138857
12,2020-04-14,319523658.66068494,6298474.223739204,3654557.115575826
13,2020-04-15,318409246.98241717,6962994.886025608,4104448.1315571973
14,2020-04-16,317181556.11366594,7693328.977203588,4601804.909130455
15,2020-04-17,315830325.4035299,8495036.188968033,5151328.407502141
16,2020-04-18,314344641.7708904,9373931.522395425,5758116.706714142
17,2020-04-19,312712961.2973893,10336045.458582597,6427683.244028103
18,2020-04-20,310923148.65782017,11387569.136824459,7165972.205355431
19,2020-04-21,308962537.9889293,12534782.010227868,7979370.000842893
20,2020-04-22,306818019.0429113,13783959.384086661,8874711.573002024
21,2020-04-23,304476152.5967371,15141257.302826133,9859280.100436784
22,2020-04-24,301923319.03595626,16612572.48483368,10940798.479210079
23,2020-04-25,299145903.73500866,18203375.465435967,12127410.799555339
24,2020-04-26,296130522.24110454,19918515.854666103,13427651.904229335
25,2020-04-27,292864287.25833774,21761999.704956748,14850403.036705486
26,2020-04-28,289335117.9505917,23736740.462348793,16404831.587059543
27,2020-04-29,285532090.0793947,25844286.871949412,18100313.048655886
28,2020-04-30,281445822.93969226,28084533.520798296,19946333.539509416
29,2020-05-01,277068895.9733882,30455422.378473964,21952371.648137867
30,2020-05-02,272396284.4143947,32952646.62471932,24127758.96088601
31,2020-05-03,267425799.52020136,35569371.045718394,26481519.434080247
32,2020-05-04,262158515.13964066,38295986.065870635,29022188.794488702
33,2020-05-05,256599158.91810578,41119914.711271845,31757616.37062231
34,2020-05-06,250756443.797066,44025493.067220844,34694753.13571317
35,2020-05-07,244643314.12068775,46993944.66736904,37839431.211943224
36,2020-05-08,238277081.10742912,50003467.34724418,41196141.545326725
37,2020-05-09,231679425.08251747,53029447.13306695,44767817.784415595
38,2020-05-10,224876246.92824817,56044807.63497426,48555635.43677751
39,2020-05-11,217897358.6629557,59020495.3549115,52558835.98213283
40,2020-05-12,210776012.5527756,61926091.79688364,56774585.650340796
41,2020-05-13,203548278.99656448,64730533.08188872,61197877.92154676
42,2020-05-14,196252294.6056678,67402907.96693625,65821487.42739597
43,2020-05-15,188927412.23508582,69913296.9113085,70635980.8536057
44,2020-05-16,181613292.99036992,72233609.23378806,75629787.77584203
45,2020-05-17,174348985.380221,74338373.32723783,80789331.29254118
46,2020-05-18,167172038.1042993,76205436.79407111,86099215.10162959
47,2020-05-19,160117690.24051887,77816539.17256075,91542460.58692038
48,2020-05-20,153218176.1421325,79157729.04433565,97100784.81353186
49,2020-05-21,146502172.97331512,80219608.7099862,102754908.3166987
