day,date,hospitalized,icu,ventilated
12,2020-04-14,133882.15762031602,47318.70492850539,33588.60787838613
13,2020-04-15,147869.69032432497,52282.15444756691,37117.86167700914
14,2020-04-16,163210.68376071725,57730.41638873739,40993.22397546748
15,2020-04-17,180011.9387256009,63702.818938952754,45243.09780983893
16,2020-04-18,198383.1980966564,70240.06269903158,49896.9641224988
17,2020-04-19,218435.8252448027,77383.81241373418,54985.110833526734
18,2020-04-20,240281.09185497081,85176.15777702433,60538.27147366876
19,2020-04-21,264028.0167938933,93658.92238689127,66587.15852913725
20,2020-04-22,289780.6984876471,102872.79966830721,73161.87632135046
21,2020-04-23,317635.0879232219,112856.29547960915,80291.1986764093
22,2020-04-24,347675.1591893396,123644.45959845718,88001.69812364364
23,2020-04-25,379968.4508970435,135267.3928399295,96316.71623704249
24,2020-04-26,414560.97640711843,147748.5237181895,105255.16936280696
25,2020-04-27,451471.5349870586,161102.65884414501,114830.19072596027
26,2020-04-28,490685.5009584392,175333.82510098224,125047.61910149381
27,2020-04-29,532148.2240879153,190432.9393381906,135904.356089973
28,2020-04-30,575758.2414261198,206375.3628692771,147386.6285906391
29,2020-05-01,621360.576564202,223118.4230214236,159468.2100777054
30,2020-05-02,668740.4830153506,240599.01136756808,172108.67314258323
31,2020-05-03,717618.0680225804,258731.39636816166,185251.76538267866
32,2020-05-04,767644.3029674278,277405.4144652602,198824.0194815779
33,2020-05-05,818398.9758121457,296485.2249224904,212733.72408451425
34,2020-05-06,869391.1570582178,315808.8259595382,226870.39222019285
35,2020-05-07,920062.720475114,335188.52872427943,241104.86568825014
36,2020-05-08,969795.371648977,354412.56728974206,255290.18421581291
37,2020-05-09,1017921.4832969308,373247.9839288112,269263.3249843862
38,2020-05-10,1063738.8147988282,391444.8678385494,282847.88005722035
39,2020-05-11,1106528.9119171246,408741.94313579245,295857.6865521626
40,2020-05-12,1145578.659133257,424873.4022556934,308101.35930809553
41,2020-05-13,1180204.1200125366,439576.7710730709,319387.6026181842
42,2020-05-14,1209775.4878754988,452601.48234328534,329531.1026698644
43,2020-05-15,1233741.7218085825,463717.7367148516,338358.7334151003
44,2020-05-16,1251653.3023036881,472725.15847738355,345715.7540334804
45,2020-05-17,1263181.5387006802,479460.7179540604,351471.64370233373
46,2020-05-18,1268133.013966409,483805.402336636,355525.215015649
47,2020-05-19,1266458.0578064173,485689.1751579703,357808.6742099929
48,2020-05-20,1258252.5713608013,485093.86890617386,358290.3539305788
49,2020-05-21,1243753.0408088164,482053.7968459532,356975.92844820267
50,2020-05-22,1223325.1146216486,476654.03509758506,353908.0245127786
51,2020-05-23,1197446.6169926273,469026.4972125222,349164.2534294985
52,2020-05-24,1166686.2707656398,459344.0826411778,342853.8002803619
53,2020-05-25,1131679.6642729007,447813.3109273999,335112.80350851256
54,2020-05-26,1093104.0960684558,434665.9423683027,326098.83296294627
55,2020-05-27,1051653.8708628658,420150.12597511103,315984.82036301575
56,2020-05-28,1008017.4213091731,404521.6058967798,304952.8099167553
57,2020-05-29,962857.331424226,388035.4631166125,293187.8792363402
58,2020-05-30,916793.9840259822,370938.7801776717,280872.5359625346
59,2020-05-31,870393.1923267636,353464.50595271215,268181.8305839513
60,2020-06-01,824157.8438396854,335826.678981517,255279.34935211972
61,2020-06-02,778523.3111665286,318217.0544885695,242314.17179772665
62,2020-06-03,733856.1845108597,300803.0820464988,229418.80311205972
63,2020-06-04,690455.7583830822,283727.104591168,216708.02873879182
64,2020-06-05,648557.6538113216,267106.59800114925,204278.59078491363
65,2020-06-06,608338.9649474518,251035.2432691555,192209.5547794518
66,2020-06-07,569924.369693866,235584.61743360432,180563.2202608902
67,2020-06-08,533392.7220330955,220806.3003836514,169386.4274738941
68,2020-06-09,498783.7349997461,206734.21729046432,158712.12199247954
69,2020-06-10,466104.4564275341,193387.06582285347,148561.05593221379
70,2020-06-11,435335.3267054949,180770.7092528576,138943.5253119541
71,2020-06-12,406435.68383268267,168880.4477976961,129861.06531814439
72,2020-06-13,379348.6436962299,157703.10886309994,121308.04661652609
73,2020-06-14,354005.3322885819,147218.92097678222,113273.13504198962
74,2020-06-15,330328.48241633736,137403.155624317,105740.59319489682
75,2020-06-16,308235.43199163117,128227.53597979364,98691.41540131555
76,2020-06-17,287640.5762287667,119661.42208155454,92104.2972391937
77,2020-06-18,268457.33401963394,111672.788958824,85956.4477092612
78,2020-06-19,250599.6912989691,104229.01825912716,80224.25657798885
79,2020-06-20,233983.38294398692,97297.52573464764,74883.83191981656
80,2020-06-21,218526.7709955983,90846.24712565728,69911.4239000103
81,2020-06-22,204151.47176249884,84844.00404419773,65283.750780860195
82,2020-06-23,190782.77843485493,79260.76982367574,60978.24234904023
83,2020-06-24,178349.91973068565,74067.85327585903,56973.21472761477
84,2020-06-25,166786.18918598723,69238.0161171311,53247.98906319146
